,individual.ID,Species,E,Eh.untransformed,Eh,Eh.,lnc,Th,Topt
1,Bgran_2,Bgran,0.401208543,66.98590439,76.48590439,75.98590439,3.030885715,309.6448146,35.86539935
2,Bgran_8,Bgran,0.298210229,70.27321856,79.77321856,79.27321856,3.116839643,309.5949535,35.80455996
3,Bgran_9,Bgran,0.347890708,70.375427,79.875427,79.375427,2.537013507,309.4819749,35.71089158
4,Mplan_3,Mplan,-7.899926705,-8.580603393,0.919396607,0.419396607,18.56445975,310.6192394,35.11108541
5,Mplan_6,Mplan,-5.7789081,-6.389630694,3.110369306,2.610369306,14.60109592,310.4314791,34.38706255
6,Mplan_8,Mplan,-6.82762142,-7.489739186,2.010260814,1.510260814,15.99763625,310.0188949,34.30922099
7,Pdarw_10,Pdarw,-6.812926053,-7.654295861,1.845704139,1.345704139,15.70969714,309.1897999,33.80433273
8,Pdarw_2,Pdarw,-3.576758011,-4.522246973,4.977753027,4.477753027,10.02660503,308.4553268,32.91106599
9,Pdarw_4,Pdarw,-6.723298865,-7.453619035,2.046380965,1.546380965,15.30568013,309.3527669,33.76531251
10,Pdarw_5,Pdarw,-3.148125255,-4.109057266,5.390942734,4.890942734,9.893765071,309.2901862,33.77703125
11,Pdarw_6,Pdarw,-2.496074234,-3.371717674,6.128282326,5.628282326,8.792773314,309.0425183,33.35579303
12,Pdarw_7,Pdarw,-2.679233402,-3.595134052,5.904865948,5.404865948,9.352655279,310.4133897,34.80319173
13,Pdarw_9,Pdarw,-2.463039688,-3.308334947,6.191665053,5.691665053,8.347951701,308.4754746,32.69648585
