"","Temp.Cat","ID","Species","Chamber.Channel","Run","individual.ID","Temp.C"
"1",20,"Bgran_1_20C","Bgran",1,4,"Bgran_1_20",19.8865705128205
"2",24,"Bgran_1_24C","Bgran",1,4,"Bgran_1_24",23.8526062992126
"3",28,"Bgran_1_28C","Bgran",1,4,"Bgran_1_28",27.999595505618
"4",30,"Bgran_1_30C","Bgran",1,4,"Bgran_1_30",30.019447761194
"5",32,"Bgran_1_32C","Bgran",1,4,"Bgran_1_32",32.114859375
"6",34,"Bgran_1_34C","Bgran",1,4,"Bgran_1_34",34.0799795918367
"7",36,"Bgran_1_36C","Bgran",1,4,"Bgran_1_36",35.8554736842105
"8",20,"Bgran_10_20C","Bgran",10,4,"Bgran_10_20",19.9427243589744
"9",24,"Bgran_10_24C","Bgran",10,4,"Bgran_10_24",23.9027083333333
"10",28,"Bgran_10_28C","Bgran",10,4,"Bgran_10_28",28.1856629213483
"11",30,"Bgran_10_30C","Bgran",10,4,"Bgran_10_30",30.0318333333333
"12",32,"Bgran_10_32C","Bgran",10,4,"Bgran_10_32",32.154875
"13",34,"Bgran_10_34C","Bgran",10,4,"Bgran_10_34",34.0951296296296
"14",36,"Bgran_10_36C","Bgran",10,4,"Bgran_10_36",35.8362280701754
"15",20,"Bgran_2_20C","Bgran",2,4,"Bgran_2_20",19.9328846153846
"16",24,"Bgran_2_24C","Bgran",2,4,"Bgran_2_24",23.8536048387097
"17",28,"Bgran_2_28C","Bgran",2,4,"Bgran_2_28",28.0838876404494
"18",30,"Bgran_2_30C","Bgran",2,4,"Bgran_2_30",30.1137313432836
"19",32,"Bgran_2_32C","Bgran",2,4,"Bgran_2_32",32.086328125
"20",34,"Bgran_2_34C","Bgran",2,4,"Bgran_2_34",34.1002941176471
"21",36,"Bgran_2_36C","Bgran",2,4,"Bgran_2_36",35.905298245614
"22",20,"Bgran_3_20C","Bgran",3,4,"Bgran_3_20",19.8850256410256
"23",24,"Bgran_3_24C","Bgran",3,4,"Bgran_3_24",23.8287723577236
"24",28,"Bgran_3_28C","Bgran",3,4,"Bgran_3_28",27.9057528089888
"25",30,"Bgran_3_30C","Bgran",3,4,"Bgran_3_30",30.0928805970149
"26",32,"Bgran_3_32C","Bgran",3,4,"Bgran_3_32",32.0393571428571
"27",34,"Bgran_3_34C","Bgran",3,4,"Bgran_3_34",34.0644814814815
"28",36,"Bgran_3_36C","Bgran",3,4,"Bgran_3_36",35.8807192982456
"29",20,"Bgran_4_20C","Bgran",4,4,"Bgran_4_20",19.884282051282
"30",24,"Bgran_4_24C","Bgran",4,4,"Bgran_4_24",23.7842195121951
"31",28,"Bgran_4_28C","Bgran",4,4,"Bgran_4_28",28.1178202247191
"32",30,"Bgran_4_30C","Bgran",4,4,"Bgran_4_30",29.9903134328358
"33",32,"Bgran_4_32C","Bgran",4,4,"Bgran_4_32",32.18846875
"34",34,"Bgran_4_34C","Bgran",4,4,"Bgran_4_34",34.0448113207547
"35",36,"Bgran_4_36C","Bgran",4,4,"Bgran_4_36",35.824
"36",20,"Bgran_6_20C","Bgran",6,4,"Bgran_6_20",19.9449166666667
"37",24,"Bgran_6_24C","Bgran",6,4,"Bgran_6_24",23.9308442622951
"38",28,"Bgran_6_28C","Bgran",6,4,"Bgran_6_28",28.1502247191011
"39",30,"Bgran_6_30C","Bgran",6,4,"Bgran_6_30",30.091803030303
"40",32,"Bgran_6_32C","Bgran",6,4,"Bgran_6_32",32.191875
"41",34,"Bgran_6_34C","Bgran",6,4,"Bgran_6_34",34.1381666666667
"42",36,"Bgran_6_36C","Bgran",6,4,"Bgran_6_36",35.8814736842105
"43",20,"Bgran_7_20C","Bgran",7,4,"Bgran_7_20",19.9415225806452
"44",24,"Bgran_7_24C","Bgran",7,4,"Bgran_7_24",23.8594049586777
"45",28,"Bgran_7_28C","Bgran",7,4,"Bgran_7_28",28.1560449438202
"46",30,"Bgran_7_30C","Bgran",7,4,"Bgran_7_30",30.0798181818182
"47",32,"Bgran_7_32C","Bgran",7,4,"Bgran_7_32",32.13809375
"48",34,"Bgran_7_34C","Bgran",7,4,"Bgran_7_34",34.1276481481481
"49",36,"Bgran_7_36C","Bgran",7,4,"Bgran_7_36",35.8857719298246
"50",20,"Bgran_8_20C","Bgran",8,4,"Bgran_8_20",19.8963076923077
"51",24,"Bgran_8_24C","Bgran",8,4,"Bgran_8_24",23.7883801652893
"52",28,"Bgran_8_28C","Bgran",8,4,"Bgran_8_28",28.0314606741573
"53",30,"Bgran_8_30C","Bgran",8,4,"Bgran_8_30",29.9931525423729
"54",32,"Bgran_8_32C","Bgran",8,4,"Bgran_8_32",32.0091875
"55",34,"Bgran_8_34C","Bgran",8,4,"Bgran_8_34",34.0019074074074
"56",36,"Bgran_8_36C","Bgran",8,4,"Bgran_8_36",35.7868363636364
"57",20,"Bgran_9_20C","Bgran",9,4,"Bgran_9_20",19.883532051282
"58",24,"Bgran_9_24C","Bgran",9,4,"Bgran_9_24",23.8209083333333
"59",28,"Bgran_9_28C","Bgran",9,4,"Bgran_9_28",28.031808988764
"60",30,"Bgran_9_30C","Bgran",9,4,"Bgran_9_30",29.9922166666667
"61",32,"Bgran_9_32C","Bgran",9,4,"Bgran_9_32",32.048453125
"62",34,"Bgran_9_34C","Bgran",9,4,"Bgran_9_34",34.0426111111111
"63",36,"Bgran_9_36C","Bgran",9,4,"Bgran_9_36",35.8189298245614
"71",20,"Mplan_1_20C","Mplan",1,1,"Mplan_1_20",23.9110838709677
"72",24,"Mplan_1_24C","Mplan",1,1,"Mplan_1_24",27.8919677419355
"73",28,"Mplan_1_28C","Mplan",1,1,"Mplan_1_28",29.9312537313433
"74",30,"Mplan_1_30C","Mplan",1,1,"Mplan_1_30",31.8986
"75",32,"Mplan_1_32C","Mplan",1,1,"Mplan_1_32",33.9219104477612
"76",34,"Mplan_1_34C","Mplan",1,1,"Mplan_1_34",35.992109375
"77",36,"Mplan_1_36C","Mplan",1,1,"Mplan_1_36",20.0705714285714
"78",20,"Mplan_10_20C","Mplan",10,1,"Mplan_10_20",24.0393873239437
"79",24,"Mplan_10_24C","Mplan",10,1,"Mplan_10_24",27.9854895833333
"80",28,"Mplan_10_28C","Mplan",10,1,"Mplan_10_28",29.9929552238806
"81",30,"Mplan_10_30C","Mplan",10,1,"Mplan_10_30",31.9547727272727
"82",32,"Mplan_10_32C","Mplan",10,1,"Mplan_10_32",33.9365909090909
"83",34,"Mplan_10_34C","Mplan",10,1,"Mplan_10_34",35.8545846153846
"84",36,"Mplan_10_36C","Mplan",10,1,"Mplan_10_36",20.0596862745098
"85",20,"Mplan_2_20C","Mplan",2,1,"Mplan_2_20",23.9214895104895
"86",24,"Mplan_2_24C","Mplan",2,1,"Mplan_2_24",27.9955052631579
"87",28,"Mplan_2_28C","Mplan",2,1,"Mplan_2_28",29.9610447761194
"88",30,"Mplan_2_30C","Mplan",2,1,"Mplan_2_30",32.0500847457627
"89",32,"Mplan_2_32C","Mplan",2,1,"Mplan_2_32",33.892776119403
"90",34,"Mplan_2_34C","Mplan",2,1,"Mplan_2_34",35.849234375
"91",36,"Mplan_2_36C","Mplan",2,1,"Mplan_2_36",20.0137777777778
"92",20,"Mplan_3_20C","Mplan",3,1,"Mplan_3_20",23.9453846153846
"93",24,"Mplan_3_24C","Mplan",3,1,"Mplan_3_24",27.9247157894737
"94",28,"Mplan_3_28C","Mplan",3,1,"Mplan_3_28",29.9221044776119
"95",30,"Mplan_3_30C","Mplan",3,1,"Mplan_3_30",31.9625263157895
"96",32,"Mplan_3_32C","Mplan",3,1,"Mplan_3_32",33.9231044776119
"97",34,"Mplan_3_34C","Mplan",3,1,"Mplan_3_34",35.962734375
"98",36,"Mplan_3_36C","Mplan",3,1,"Mplan_3_36",20.0060392156863
"99",20,"Mplan_4_20C","Mplan",4,1,"Mplan_4_20",23.9339370629371
"100",24,"Mplan_4_24C","Mplan",4,1,"Mplan_4_24",27.9403263157895
"101",28,"Mplan_4_28C","Mplan",4,1,"Mplan_4_28",29.894776119403
"102",30,"Mplan_4_30C","Mplan",4,1,"Mplan_4_30",31.9102105263158
"103",32,"Mplan_4_32C","Mplan",4,1,"Mplan_4_32",33.861447761194
"104",34,"Mplan_4_34C","Mplan",4,1,"Mplan_4_34",35.92246875
"105",36,"Mplan_4_36C","Mplan",4,1,"Mplan_4_36",20.0665490196078
"106",20,"Mplan_6_20C","Mplan",6,1,"Mplan_6_20",23.9904755244755
"107",24,"Mplan_6_24C","Mplan",6,1,"Mplan_6_24",27.9766315789474
"108",28,"Mplan_6_28C","Mplan",6,1,"Mplan_6_28",29.9723134328358
"109",30,"Mplan_6_30C","Mplan",6,1,"Mplan_6_30",31.9895438596491
"110",32,"Mplan_6_32C","Mplan",6,1,"Mplan_6_32",33.9098208955224
"111",34,"Mplan_6_34C","Mplan",6,1,"Mplan_6_34",35.985140625
"112",36,"Mplan_6_36C","Mplan",6,1,"Mplan_6_36",20.1271176470588
"113",20,"Mplan_7_20C","Mplan",7,1,"Mplan_7_20",24.0596503496504
"114",24,"Mplan_7_24C","Mplan",7,1,"Mplan_7_24",28.0892526315789
"115",28,"Mplan_7_28C","Mplan",7,1,"Mplan_7_28",30.0606119402985
"116",30,"Mplan_7_30C","Mplan",7,1,"Mplan_7_30",32.0425438596491
"117",32,"Mplan_7_32C","Mplan",7,1,"Mplan_7_32",34.0628484848485
"118",34,"Mplan_7_34C","Mplan",7,1,"Mplan_7_34",36.08759375
"119",36,"Mplan_7_36C","Mplan",7,1,"Mplan_7_36",20.0864350649351
"120",20,"Mplan_8_20C","Mplan",8,1,"Mplan_8_20",24.1158368794326
"121",24,"Mplan_8_24C","Mplan",8,1,"Mplan_8_24",28.0401684210526
"122",28,"Mplan_8_28C","Mplan",8,1,"Mplan_8_28",30.117
"123",30,"Mplan_8_30C","Mplan",8,1,"Mplan_8_30",31.9833793103448
"124",32,"Mplan_8_32C","Mplan",8,1,"Mplan_8_32",33.9736363636364
"125",34,"Mplan_8_34C","Mplan",8,1,"Mplan_8_34",36.031015625
"126",36,"Mplan_8_36C","Mplan",8,1,"Mplan_8_36",20.0046103896104
"127",20,"Mplan_9_20C","Mplan",9,1,"Mplan_9_20",23.9186408450704
"128",24,"Mplan_9_24C","Mplan",9,1,"Mplan_9_24",27.9096458333333
"129",28,"Mplan_9_28C","Mplan",9,1,"Mplan_9_28",29.9533432835821
"130",30,"Mplan_9_30C","Mplan",9,1,"Mplan_9_30",31.9364181818182
"131",32,"Mplan_9_32C","Mplan",9,1,"Mplan_9_32",33.8551212121212
