,individual.ID,Species,E,Eh,lnc,Th,Topt
1,Bgran_1,Bgran,0.462280981,3.37E-06,3.529539188,310.5939132,NA
2,Bgran_10,Bgran,1.453762888,1.462158935,3.422831019,297.3114601,53.68809954
3,Bgran_2,Bgran,0.401208543,66.98590439,3.030885715,309.6448146,35.86539935
4,Bgran_3,Bgran,-9.704720564,-10,20.52935772,310.0436901,34.02655687
5,Bgran_4,Bgran,-3.435484444,-3.721626701,10.09167236,311.7906175,33.14299302
6,Bgran_6,Bgran,0.889192456,1.73988741,3.013366581,303.390186,30.44215769
7,Bgran_7,Bgran,0.344117331,-1.465311814,2.841657501,286.5844021,NA
8,Bgran_8,Bgran,0.298210229,70.27321856,3.116839643,309.5949535,35.80455996
9,Bgran_9,Bgran,0.347890708,70.375427,2.537013507,309.4819749,35.71089158
10,Mplan_1,Mplan,125.9181891,125.4316018,57.59447834,292.8965044,NA
11,Mplan_10,Mplan,0.638477713,4.00694028156493e-05,3.526714363,296.0453116,NA
12,Mplan_2,Mplan,0.578167402,84.13410453,2.811023185,309.1810153,35.54468505
13,Mplan_3,Mplan,-7.899926705,-8.580603393,18.56445975,310.6192394,35.11108541
14,Mplan_4,Mplan,51.44034844,50.92589225,26.02203463,292.7579779,NA
15,Mplan_6,Mplan,-5.7789081,-6.389630694,14.60109592,310.4314791,34.38706255
16,Mplan_7,Mplan,0.583794223,81.24124593,2.792092845,309.3643438,35.71468131
17,Mplan_8,Mplan,-6.82762142,-7.489739186,15.99763625,310.0188949,34.30922099
18,Mplan_9,Mplan,208.0252984,207.4678214,90.93349725,292.9766293,NA
19,Pdarw_1,Pdarw,1.221531904,3.399034946,2.691668131,307.74452,33.21235423
20,Pdarw_10,Pdarw,-6.812926053,-7.654295861,15.70969714,309.1897999,33.80433273
21,Pdarw_2,Pdarw,-3.576758011,-4.522246973,10.02660503,308.4553268,32.91106599
22,Pdarw_3,Pdarw,0.843364502,3.983402272,3.356128373,308.6789136,32.84195678
23,Pdarw_4,Pdarw,-6.723298865,-7.453619035,15.30568013,309.3527669,33.76531251
24,Pdarw_5,Pdarw,-3.148125255,-4.109057266,9.893765071,309.2901862,33.77703125
25,Pdarw_6,Pdarw,-2.496074234,-3.371717674,8.792773314,309.0425183,33.35579303
26,Pdarw_7,Pdarw,-2.679233402,-3.595134052,9.352655279,310.4133897,34.80319173
27,Pdarw_9,Pdarw,-2.463039688,-3.308334947,8.347951701,308.4754746,32.69648585
28,Tcocc_1,Tcocc,4.442139538,4.328479741,5.1789535,292.8818239,NA
29,Tcocc_10,Tcocc,92.70277162,92.27906728,41.65635261,292.9637479,NA
30,Tcocc_2,Tcocc,52.85799759,52.48521616,24.55241073,292.985127,NA
31,Tcocc_3,Tcocc,61.18966863,60.80350384,30.06607015,292.7413897,NA
32,Tcocc_5,Tcocc,5.222835431,4.952554075,6.21978521,290.754032,NA
33,Tcocc_6,Tcocc,48.9871985,48.62773196,23.22997016,292.9688948,NA
34,Tcocc_7,Tcocc,0.404508597,-5.149355873,2.489209824,287.0703335,NA
35,Tcocc_8,Tcocc,74.58508068,74.3925621,33.88717134,293.0621473,NA
36,Tcocc_9,Tcocc,6.024223104,5.803365773,6.101848339,291.5030509,NA
