"","ID","Temp.Cat","Light_Dark","blank.rate","umol.sec"
"261","MplanBk_5_20C",20,"Dark",1,-0.000552079738903333
"262","MplanBk_5_24C",24,"Dark",1,-0.000405326359853549
"263","MplanBk_5_28C",28,"Dark",1,-0.00391133203667689
"264","MplanBk_5_30C",30,"Dark",1,-0.00304624544217691
"265","MplanBk_5_32C",32,"Dark",1,-0.00324294530612236
"266","MplanBk_5_34C",34,"Dark",1,-0.00328724678795348
"267","MplanBk_5_36C",36,"Dark",1,-0.001998022868722
"268","PdarwBk_8_20C",20,"Dark",2,-0.000447275541686496
"269","PdarwBk_8_24C",24,"Dark",2,-0.00106794752988468
"270","PdarwBk_8_28C",28,"Dark",2,-0.00190409226426931
"271","PdarwBk_8_30C",30,"Dark",2,4.94832309267983e-05
"272","PdarwBk_8_32C",32,"Dark",2,-0.00194357414965989
"273","PdarwBk_8_34C",34,"Dark",2,0.00109478005865101
"274","PdarwBk_8_36C",36,"Dark",2,-0.00136538702265017
"275","TcoccBk_4_20C",20,"Dark",3,-0.00020720127113837
"276","TcoccBk_4_24C",24,"Dark",3,-0.000635151515151552
"277","TcoccBk_4_28C",28,"Dark",3,-0.00149765347018567
"278","TcoccBk_4_30C",30,"Dark",3,-0.000974308639228777
"279","TcoccBk_4_32C",32,"Dark",3,-0.00146687878787888
"280","TcoccBk_4_34C",34,"Dark",3,-0.00103289034847649
"281","TcoccBk_4_36C",36,"Dark",3,-0.0011638840579711
"282","TcoccBk_4_38C",38,"Dark",3,-0.00159894909688015
"283","BgranBk_5_20C",20,"Dark",4,-0.000152240054682138
"284","BgranBk_5_24C",24,"Dark",4,-0.000629628082173491
"285","BgranBk_5_28C",28,"Dark",4,-0.00139016344290816
"286","BgranBk_5_30C",30,"Dark",4,-0.000610085504616122
"287","BgranBk_5_32C",32,"Dark",4,-0.000707700553709838
"288","BgranBk_5_34C",34,"Dark",4,-0.00111962927310875
"289","BgranBk_5_36C",36,"Dark",4,-0.00101847435897435
